thisN,thisTrialN,thisRepN,expBlk.thisRepN,expBlk.thisTrialN,expBlk.thisN,expBlk.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,blockInit.started,blockInit.stopped,trlInit.started,trlInit.stopped,fixationCircle.started,fixationCircle.stopped,stim.started,stim.stopped,preCueRest.started,preCueRest.stopped,retrocue.started,retrocue.stopped,delayCode_2.started,delayCode_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,2,0,2,0,0,0,0,0,40.313575399999536,,,,40.30170559999897,40.301943200000096,40.30221719999827,40.30248099999881,40.31509939999887,40.315496399998665,40.887490799999796,40.88814899999852,40.89770700000008,41.38885139999911,41.39786759999697,41.889582699997845,41.89928569999756,41.89961869999752,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
1,0,1,2,0,2,0,1,0,1,0,41.912721099997725,,,,,,41.899833699997544,41.90002949999689,41.914629899998545,41.9150996999997,42.5052904999975,42.505774099998234,42.51429759999883,43.00635449999754,43.01419239999814,43.50699909999821,43.51607769999828,43.516465400000016,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
2,0,2,2,0,2,0,2,0,2,0,43.528997399997024,,,,,,43.51671559999886,43.51692399999956,43.530359399999725,43.53073469999799,44.1206953999972,44.12109149999742,44.130964299998595,44.621681999997236,44.63084339999841,45.122407799997745,45.13188569999693,45.132177199997386,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
3,0,3,2,0,2,0,3,0,3,0,45.147120800000266,,,,,,45.13238239999919,45.13257369999701,45.148657199999434,45.14911159999974,45.738000599998486,45.73857769999813,45.74736130000019,46.23918699999922,46.24736729999859,46.73988649999956,46.74816379999902,46.74846249999973,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
4,0,4,2,0,2,0,4,0,4,0,46.7624868999992,,,,,,46.748659099997894,46.748821499997575,46.76397249999718,46.764392599998246,47.35456439999689,47.35522479999781,47.36500159999923,47.855962999998155,47.86375699999917,48.356538,48.364923199998884,48.365270299997064,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
5,0,5,2,0,2,0,5,0,5,0,48.37904349999735,,,,,,48.3655050999987,48.366159099998185,48.38073529999747,48.38115649999963,48.97191269999894,48.972420299996884,48.97979109999869,49.47330399999919,49.480359999997745,49.974270499998966,49.99926619999678,49.99968420000005,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
6,0,6,2,0,2,0,6,0,6,0,50.01229299999977,,,,,,49.99989199999982,50.00008759999764,50.01418619999822,50.0146571999976,50.60278289999769,50.60317049999867,50.613559800000075,51.10384899999917,51.11648520000017,51.604738399997586,51.6218861999987,51.62225849999959,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
7,0,7,2,0,2,0,7,0,7,0,51.6283700999993,,,,,,51.62248989999716,51.62273209999694,51.62959239999691,51.62989369999923,52.20382599999721,52.20428809999794,52.213375199997245,52.704948599999625,52.7131773000001,53.20559499999945,53.214548099997046,53.214866899998015,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
8,0,8,2,0,2,0,8,0,8,0,53.22840249999717,,,,,,53.21506959999897,53.21532959999968,53.23018179999781,53.23047359999691,53.80299589999777,53.80357319999894,53.81368979999752,54.304253899998,54.314303199997084,54.80547569999908,54.81629549999707,54.81695909999689,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
9,0,9,2,0,2,0,9,0,9,0,54.83092519999991,,,,,,54.81727099999989,54.817627399999765,54.832970899999054,54.833722999999736,55.649179999996704,55.649914499997976,55.665080699996906,56.150820199996815,56.165806499997416,56.65187529999821,56.66620239999975,56.66691799999899,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
10,0,10,2,0,2,0,10,0,10,0,56.67982609999672,,,,,,56.667233999996824,56.66746919999787,56.682393899998715,56.68343409999943,57.35749559999749,57.35800190000009,57.38200129999677,57.85855519999677,57.88140129999738,58.359787999997934,58.382050499996694,58.38258239999777,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
11,0,11,2,0,2,0,11,0,11,0,58.39565549999679,,,,,,58.3828070999989,58.38303729999825,58.39718039999934,58.39758889999939,58.98683559999699,58.987229899998056,58.996985899997526,59.487852099999145,59.49636459999965,59.98846809999668,59.997258699997474,59.99754149999717,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
2,0,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
0,0,0,3,0,3,0,0,0,0,0,60.011595099997066,,,,59.99832029999743,59.99850460000016,59.998774499999854,59.99898039999971,60.013267799997266,60.0136829999974,60.60411359999853,60.60453199999756,60.61313109999901,61.10518830000001,61.11278019999736,61.60594839999976,61.61351659999855,61.61383249999926,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
1,0,1,,,,,1,0,1,0,61.628115499999694,,,,,,61.614043699999456,61.61437539999679,61.62955899999724,61.62999819999823,62.23614699999962,62.236626299996715,62.24599229999876,62.73729579999781,62.74601319999783,,,,,,,,,,,
